Thousand Oaks - 5395016
Available Units - As Of Property Date: 03/10/2026

Parameters: Needed by date - 03/11/2026; 
Accessibility: M-Mobility; H-Hearing; V-Vision

Unit,Amenity,Floor Plan,Floor Plan Group,Rentable Sq Ft,Status,Available Date,Move-In Ready Date,Specials,Deposit,Price,Best Price,Accessibility
 Unit 4-26-0417,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,04/01/2025,09/30/2024,3,0.0000,1707,1707,
 Unit 5-12-0307,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,04/01/2025,03/28/2025,3,0.0000,1437,1437,
 Unit 5-18-0238,26 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,06/09/2025,06/18/2025,3,0.0000,1368,1368,
 Unit 3-09-0208,23 Of 102, 3a5 - 3a5, 1x1 - One bedroom one bath,736 Sq ft.,Vacant ready,06/23/2025,07/17/2025,2,0.0000,1397,1397,
 Unit 4-23-0321,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,07/01/2025,08/01/2025,3,0.0000,1565,1565,
 Unit 4-26-0304,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,07/05/2025,03/15/2026,2,0.0000,1691,1691,
 Unit 8-01-3001,28 Of 102, 8A5.2HC - 8A5.2HC, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,07/08/2025,07/22/2025,3,0.0000,1522,1522,
 Unit 3-17-0311,22 Of 102, 3b2-1 - 3b2-1," 2x2 - Two bedroom, two bath",1125 Sq ft.,Vacant ready,07/29/2025,08/27/2025,3,0.0000,1763,1763,
 Unit 4-16-5793,21 Of 102, 4d1thgg - 4d1thgg," 4x3 - Four bedroom, 3 bath",2263 Sq ft.,Vacant ready,08/06/2025,09/12/2025,3,0.0000,3145,3145,
 Unit 4-26-0404,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,08/31/2025,03/06/2026,3,0.0000,1686,1686,
 Unit 8-01-2001,28 Of 102, 8A5.2HC - 8A5.2HC, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,09/14/2025,09/25/2025,3,0.0000,1532,1532,
 Unit 3-33-0310,22 Of 102, 3b2-2 - 3b2-2," 2x2 - Two bedroom, two bath",1146 Sq ft.,Vacant ready,09/21/2025,10/20/2025,3,0.0000,1684,1684,
 Unit 3-18-0304,22 Of 102, 3b2-2 - 3b2-2," 2x2 - Two bedroom, two bath",1146 Sq ft.,Vacant ready,09/26/2025,10/20/2025,3,0.0000,1783,1783,
 Unit 4-18-5777,21 Of 102, 4d1thgg - 4d1thgg," 4x3 - Four bedroom, 3 bath",2263 Sq ft.,Vacant ready,10/11/2025,11/11/2025,3,0.0000,3145,3145,
 Unit 3-01-0302,24 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,10/14/2025,10/28/2025,3,0.0000,1758,1758,
 Unit 4-21-0224,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,10/28/2025,11/11/2025,3,0.0000,1373,1373,
 Unit 5-18-0202,22 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,Vacant ready,11/10/2025,12/12/2025,3,0.0000,1671,1671,
 Unit 7-10-0303,29 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,Vacant ready,11/11/2025,12/26/2025,3,0.0000,1655,1655,
 Unit 8-01-3013,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,11/12/2025,12/10/2025,3,0.0000,1483,1483,
 Unit 3-16-0303,24 Of 102, 3b2-1 - 3b2-1," 2x2 - Two bedroom, two bath",1125 Sq ft.,Vacant ready,11/14/2025,12/04/2025,3,0.0000,1714,1714,
 Unit 4-06-5797,24 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,Vacant ready,11/18/2025,01/15/2026,3,0.0000,2775,2775,
 Unit 3-32-0207,23 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,11/22/2025,12/12/2025,3,0.0000,1734,1734,
 Unit 5-11-0106,25 Of 102, 5a3 - 5a3, 1x1 - One bedroom one bath,610 Sq ft.,Vacant ready,12/04/2025,01/12/2026,3,0.0000,1289,1289,
 Unit 4-05-5793,25 Of 102, 4c1thgg - 4c1thgg," 3x3 - Three bedroom, 3 bath",1786 Sq ft.,Vacant ready,12/06/2025,01/07/2026,3,0.0000,2805,2805,
 Unit 7-11-0315,31 Of 102, 7A7.9 - 7A7.9, 1x1 - One bedroom one bath,785 Sq ft.,Vacant ready,12/11/2025,01/07/2026,3,0.0000,1596,1596,
 Unit 3-17-0213,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,Vacant ready,12/13/2025,01/16/2026,3,0.0000,1397,1397,
